Date,Symbol,Adj Close,Close,High,Low,Open,Volume,Exchange,Shortname,Longname,Sector,Industry,Currentprice,Marketcap,Ebitda,Revenuegrowth,City,State,Country,Fulltimeemployees,Weight,S&P500
2024-09-13,REG,74.68000030517578,74.68000030517578,74.88999938964844,74.05999755859375,74.70999908447266,1016800.0,NMS,Regency Centers Corporation,Regency Centers Corporation,Real Estate,REIT - Retail,74.68,13636269056,895897024.0,0.133,Jacksonville,FL,United States,492.0,0.0002611757069303,5626.02
2024-09-13,REGN,1153.3499755859375,1153.3499755859375,1170.5799560546875,1150.02001953125,1160.739990234375,353600.0,NMS,"Regeneron Pharmaceuticals, Inc.","Regeneron Pharmaceuticals, Inc.",Healthcare,Biotechnology,1153.35,127139536896,4519099904.0,0.123,Tarrytown,NY,United States,13926.0,0.0024351058409923,5626.02
2024-09-13,RSG,205.7899932861328,205.7899932861328,206.8000030517578,204.47000122070312,205.1699981689453,763000.0,NYQ,"Republic Services, Inc.","Republic Services, Inc.",Industrials,Waste Management,205.79,64632049664,4647099904.0,0.086,Phoenix,AZ,United States,41000.0,0.0012378988117665,5626.02
2024-09-13,RMD,248.92999267578125,248.92999267578125,252.6499938964844,248.4199981689453,249.83999633789065,1343200.0,NYQ,ResMed Inc.,ResMed Inc.,Healthcare,Medical Instruments & Supplies,248.93,36575780864,1533543040.0,0.09,San Diego,CA,United States,9980.0,0.0007005365899172,5626.02
2024-09-13,RVTY,122.02999877929688,122.02999877929688,122.16999816894533,119.9800033569336,120.62999725341795,446200.0,NYQ,"Revvity, Inc.","Revvity, Inc.",Healthcare,Diagnostics & Research,122.03,15050814464,781416000.0,-0.025,Waltham,MA,United States,11000.0,0.0002882685206172,5626.02
2024-09-13,ROK,262.9200134277344,262.9200134277344,264.489990234375,258.07000732421875,259.4800109863281,535000.0,NYQ,"Rockwell Automation, Inc.","Rockwell Automation, Inc.",Industrials,Specialty Industrial Machinery,262.92,29832744960,1793900032.0,-0.084,Milwaukee,WI,United States,29000.0,0.0005713871017506,5626.02
2024-09-13,ROL,50.470001220703125,50.470001220703125,50.720001220703125,50.040000915527344,50.11000061035156,1644800.0,NYQ,"Rollins, Inc.","Rollins, Inc.",Consumer Cyclical,Personal Services,50.47,24443326464,745128000.0,0.087,Atlanta,GA,United States,20000.0,0.0004681634721892,5626.02
2024-09-13,ROP,551.8400268554688,551.8400268554688,555.6599731445312,551.2899780273438,551.8699951171875,297900.0,NMS,"Roper Technologies, Inc.","Roper Technologies, Inc.",Technology,Software - Application,551.84,59156697088,2667399936.0,0.121,Sarasota,FL,United States,16800.0,0.0011330292852225,5626.02
2024-09-13,ROST,155.25,155.25,155.55999755859375,153.1999969482422,153.4600067138672,1411400.0,NMS,"Ross Stores, Inc.","Ross Stores, Inc.",Consumer Cyclical,Apparel Retail,155.25,51506049024,2983800064.0,0.071,Dublin,CA,United States,108000.0,0.000986496285002,5626.02
2024-09-13,RCL,167.9600067138672,167.9600067138672,169.6300048828125,165.6999969482422,166.4600067138672,1379600.0,NYQ,Royal Caribbean Cruises Ltd.,Royal Caribbean Cruises Ltd.,Consumer Cyclical,Travel Services,167.96,43236265984,5209999872.0,0.167,Miami,FL,United States,98100.0,0.0008281049814304,5626.02
2024-09-13,SPGI,519.4500122070312,519.4500122070312,524.1400146484375,518.0700073242188,522.0,1096000.0,NYQ,S&P Global Inc.,S&P Global Inc.,Financial Services,Financial Data & Stock Exchanges,519.45,162587852800,6360999936.0,0.144,New York,NY,United States,40450.0,0.0031140480742158,5626.02
2024-09-13,CRM,254.57000732421875,254.57000732421875,256.8299865722656,252.4499969482422,252.5399932861328,4998100.0,NYQ,"Salesforce, Inc.","Salesforce, Inc.",Technology,Software - Application,254.57,243368919040,9345000448.0,0.084,San Francisco,CA,United States,72682.0,0.0046612492914384,5626.02
2024-09-13,SBAC,242.9499969482422,242.9499969482422,243.47999572753903,239.0,241.509994506836,450300.0,NMS,SBA Communications Corporation,SBA Communications Corporation,Real Estate,REIT - Specialty,242.95,26110322688,1795693056.0,-0.027,Boca Raton,FL,United States,1787.0,0.0005000914809037,5626.02
2024-09-13,SLB,39.959999084472656,39.959999084472656,40.5,39.5099983215332,40.11000061035156,17457400.0,NYQ,Schlumberger N.V.,Schlumberger Limited,Energy,Oil & Gas Equipment & Services,39.96,56736804864,7822000128.0,0.117,Houston,TX,United States,111000.0,0.0010866810458542,5626.02
2024-09-13,SRE,82.97000122070312,82.97000122070312,83.06999969482422,81.3499984741211,81.93000030517578,2492900.0,NYQ,DBA Sempra,Sempra,Utilities,Utilities - Diversified,82.97,52532121600,5040000000.0,-0.097,San Diego,CA,United States,16835.0,0.001006148671538,5626.02
2024-09-13,NOW,878.9500122070312,878.9500122070312,884.5,872.8800048828125,881.77001953125,912900.0,NYQ,"ServiceNow, Inc.","ServiceNow, Inc.",Technology,Software - Application,878.95,180937998336,1639000064.0,0.222,Santa Clara,CA,United States,22668.0,0.003465508742303,5626.02
2024-09-13,SHW,375.3999938964844,375.3999938964844,378.8599853515625,374.55999755859375,375.0,1006400.0,NYQ,Sherwin-Williams Company (The),The Sherwin-Williams Company,Basic Materials,Specialty Chemicals,375.4,94697652224,4379299840.0,0.005,Cleveland,OH,United States,64088.0,0.0018137458393257,5626.02
2024-09-13,SPG,164.02000427246094,164.02000427246094,165.85000610351562,162.61000061035156,164.75,2512400.0,NYQ,"Simon Property Group, Inc.","Simon Property Group, Inc.",Real Estate,REIT - Retail,164.02,61488967680,4271028992.0,0.065,Indianapolis,IN,United States,2500.0,0.0011776993058944,5626.02
2024-09-13,SWKS,102.47000122070312,102.47000122070312,103.05999755859376,101.05999755859376,101.5500030517578,1417400.0,NMS,"Skyworks Solutions, Inc.","Skyworks Solutions, Inc.",Technology,Semiconductors,102.47,16366098432,1136199936.0,-0.155,Irvine,CA,United States,9750.0,0.0003134601781554,5626.02
2024-09-13,SJM,120.73999786376952,120.73999786376952,120.91999816894533,117.5500030517578,117.91999816894533,648400.0,NYQ,The J.M. Smucker Company,The J. M. Smucker Company,Consumer Defensive,Packaged Foods,120.74,12847460352,1977900032.0,0.177,Orrville,OH,United States,9000.0,0.0002460676396097,5626.02
2024-09-13,SNA,280.44000244140625,280.44000244140625,282.3500061035156,278.75,278.75,244800.0,NYQ,Snap-On Incorporated,Snap-on Incorporated,Industrials,Tools & Accessories,280.44,14774336512,1473200000.0,-0.004,Kenosha,WI,United States,13200.0,0.000282973133421,5626.02
2024-09-13,SO,89.44000244140625,89.44000244140625,89.5,88.22000122070312,88.55999755859375,2311200.0,NYQ,Southern Company (The),The Southern Company,Utilities,Utilities - Regulated Electric,89.44,97898340352,12684000256.0,0.124,Atlanta,GA,United States,27819.0,0.0018750486767119,5626.02
